"Time","MFC in Counter value ls","MFC in Measure ccs/min","MFC in Setpoint ccs/min","Meter Out Counter value ls","Meter Out Measure ccs/min"
﻿"2022-05-20 09:39:11.013",0,0,0,0,0
﻿"2022-05-20 09:40:08.289",0,0,0,0,0
﻿"2022-05-20 09:41:08.290",0,0,0,0,0
﻿"2022-05-20 09:42:08.290",0,0,0,0,0
﻿"2022-05-20 09:43:08.290",0,0,0,0,0
﻿"2022-05-20 09:44:08.289",0,0,0,0,0
﻿"2022-05-20 09:45:08.290",0,0,0,0,0
﻿"2022-05-20 09:46:08.289",0,0,0,0,0
﻿"2022-05-20 09:47:08.289",0,0,0,0,0
﻿"2022-05-20 09:48:08.290",0,0,0,0,0
﻿"2022-05-20 09:49:08.290",0,0,0,0,0
﻿"2022-05-20 09:50:08.289",0,0,0,0,0
﻿"2022-05-20 09:51:08.290",0,0,0,0,0
﻿"2022-05-20 09:52:08.289",0,0,0,0,0
﻿"2022-05-20 09:53:08.289",0,0,0,0,0
﻿"2022-05-20 09:54:08.290",0,0,0,0,0
﻿"2022-05-20 09:55:08.291",0,0,0,0,0
﻿"2022-05-20 09:56:08.290",0,0,0,0,0
﻿"2022-05-20 09:57:08.289",0,0,0,0,0
﻿"2022-05-20 09:58:08.290",0,0,0,0,0
﻿"2022-05-20 09:59:08.303",0.002506539,0.02568938,60,0,0
﻿"2022-05-20 10:00:08.288",0.05862173,54.03435,60,0,0
﻿"2022-05-20 10:01:08.291",0.1184759,70.63314,60,0,0
﻿"2022-05-20 10:02:08.295",0.178268,59.59602,60,0.02464278,0
﻿"2022-05-20 10:03:08.286",0.2382179,59.90979,60,0.04653186,0
﻿"2022-05-20 10:04:08.287",0.2981752,60.01239,60,0.05914279,0
﻿"2022-05-20 10:05:08.277",0.3581013,59.94374,60,0.05914279,0
﻿"2022-05-20 10:06:08.279",0.4180552,59.30135,60,0.1344984,82.77668
﻿"2022-05-20 10:07:08.267",0.4839795,74.96727,75,0.2080983,57.08279
﻿"2022-05-20 10:08:08.259",0.5589327,75.25236,75,0.2593853,0
﻿"2022-05-20 10:09:08.258",0.6339076,74.92224,75,0.2593853,0
﻿"2022-05-20 10:10:08.263",0.7088755,75.06361,75,0.2593853,0
﻿"2022-05-20 10:11:08.267",0.783846,74.94431,75,0.2593853,0
﻿"2022-05-20 10:12:08.254",0.8588145,74.88609,75,0.2903401,0
﻿"2022-05-20 10:13:08.258",0.9338202,75.51028,75,0.2903401,0
﻿"2022-05-20 10:14:08.246",1.008754,74.94036,75,0.2903401,0
﻿"2022-05-20 10:15:08.236",1.083776,74.88454,75,0.2903401,0
﻿"2022-05-20 10:16:08.228",1.158728,75.67109,75,0.2903401,0
﻿"2022-05-20 10:17:08.227",1.233701,74.9585,75,0.3911179,109.241
﻿"2022-05-20 10:18:08.230",1.308639,74.91309,75,0.4848059,85.69711
﻿"2022-05-20 10:19:08.219",1.383637,74.90959,75,0.5617062,95.62904
﻿"2022-05-20 10:20:08.222",1.458615,74.93533,75,0.6376284,0
﻿"2022-05-20 10:21:08.209",1.533596,75.05514,75,0.7183741,87.76478
﻿"2022-05-20 10:22:08.213",1.608556,74.96236,75,0.7992712,76.76839
﻿"2022-05-20 10:23:08.218",1.683527,75.03586,75,0.8678612,0
﻿"2022-05-20 10:24:08.209",1.758487,75.05743,75,0.9395553,107.6137
﻿"2022-05-20 10:25:08.209",1.833478,74.91682,75,1.025183,77.369
﻿"2022-05-20 10:26:08.199",1.908456,74.92448,75,1.101339,74.96128
﻿"2022-05-20 10:27:08.201",1.983441,74.94823,75,1.170512,90.1011
﻿"2022-05-20 10:28:08.207",2.058432,75.00345,75,1.250871,76.65513
﻿"2022-05-20 10:29:08.198",2.133453,74.93241,75,1.326772,75.27962
﻿"2022-05-20 10:30:08.199",2.208412,74.9661,75,1.401265,73.91446
﻿"2022-05-20 10:31:08.201",2.283381,74.9397,75,1.473997,71.99373
﻿"2022-05-20 10:32:08.189",2.358351,74.9305,75,1.539625,135.365
﻿"2022-05-20 10:33:08.194",2.433331,74.97678,75,1.632056,78.44733
﻿"2022-05-20 10:34:08.183",2.508323,74.95939,75,1.70886,76.06482
﻿"2022-05-20 10:35:08.185",2.583302,74.98805,75,1.772008,108.7613
﻿"2022-05-20 10:36:08.190",2.658281,75.02029,75,1.857205,77.73441
﻿"2022-05-20 10:37:08.177",2.733249,74.94682,75,1.927043,56.12588
﻿"2022-05-20 10:38:08.181",2.808261,74.93725,75,1.941445,0
﻿"2022-05-20 10:39:08.172",2.883238,74.9766,75,1.941445,0
﻿"2022-05-20 10:40:08.173",2.958232,74.89088,75,1.941445,0
﻿"2022-05-20 10:41:08.161",3.033227,75.11742,75,1.941445,0
﻿"2022-05-20 10:42:08.165",3.108277,74.94514,75,1.941445,0
﻿"2022-05-20 10:43:08.153",3.18324,75.06156,75,1.941445,0
﻿"2022-05-20 10:44:08.156",3.258286,75.05556,75,1.941445,0
﻿"2022-05-20 10:45:08.149",3.333292,74.98096,75,1.941445,0
﻿"2022-05-20 10:46:08.149",3.408293,75.12064,75,1.941445,0
﻿"2022-05-20 10:47:08.139",3.483302,74.97522,75,1.941445,0
﻿"2022-05-20 10:48:08.140",3.558356,74.939,75,1.941445,0
﻿"2022-05-20 10:49:08.144",3.633353,75.06441,75,1.941445,0
﻿"2022-05-20 10:50:08.132",3.708337,75.01762,75,1.941445,0
﻿"2022-05-20 10:51:08.124",3.783373,75.01358,75,1.941445,0
﻿"2022-05-20 10:52:08.124",3.858354,75.0314,75,1.941445,0
﻿"2022-05-20 10:53:08.112",3.933338,75.04194,75,1.941445,0
﻿"2022-05-20 10:54:08.099",4.008333,74.94486,75,1.941445,0
﻿"2022-05-20 10:55:08.103",4.08336,74.96044,75,1.941445,0
﻿"2022-05-20 10:56:08.091",4.158358,74.842,75,2.094428,166.8371
﻿"2022-05-20 10:57:08.097",4.233373,75.00439,75,2.180606,78.59209
﻿"2022-05-20 10:58:08.082",4.308357,74.9799,75,2.258143,77.13973
﻿"2022-05-20 10:59:08.074",4.383359,75.06977,75,2.338767,89.46034
﻿"2022-05-20 11:00:08.074",4.458364,75.03455,75,2.419412,77.26628
﻿"2022-05-20 11:01:08.079",4.533382,75.03974,75,2.495916,75.34052
﻿"2022-05-20 11:02:08.067",4.608361,75.03001,75,2.570817,74.15551
﻿"2022-05-20 11:03:08.070",4.68337,75.00443,75,2.644158,88.95909
﻿"2022-05-20 11:04:08.075",4.758374,74.97193,75,2.724495,77.23327
﻿"2022-05-20 11:05:08.063",4.833378,75.06157,75,2.800403,75.06987
﻿"2022-05-20 11:06:08.066",4.908368,75.00828,75,2.874419,73.21683
﻿"2022-05-20 11:07:08.054",4.983385,75.08366,75,2.947402,72.93825
﻿"2022-05-20 11:08:08.058",5.058372,75.00134,75,3.023312,77.28905
﻿"2022-05-20 11:09:08.063",5.133398,74.96333,75,3.100575,77.04588
﻿"2022-05-20 11:10:08.050",5.208356,75.02637,75,3.182591,86.73892
﻿"2022-05-20 11:11:08.038",5.283352,75.01102,75,3.262324,77.18142
﻿"2022-05-20 11:12:08.043",5.35836,74.92108,75,3.328467,100.0854
﻿"2022-05-20 11:13:08.034",5.433372,74.9553,75,3.412166,77.42033
﻿"2022-05-20 11:14:08.034",5.508352,75.02596,75,3.488623,75.79895
﻿"2022-05-20 11:15:08.038",5.583375,75.03097,75,3.563974,74.88786
﻿"2022-05-20 11:16:08.027",5.658331,74.942,75,3.638414,56.65622
﻿"2022-05-20 11:17:08.018",5.733332,75.05698,75,3.71545,82.87305
﻿"2022-05-20 11:18:08.018",5.808324,75.02325,75,3.793543,76.00726
﻿"2022-05-20 11:19:08.005",5.883293,74.95421,75,3.868664,74.59195
﻿"2022-05-20 11:20:07.992",5.958275,74.98923,75,3.942467,73.46877
﻿"2022-05-20 11:21:07.985",6.033267,74.99602,75,4.015468,65.03046
﻿"2022-05-20 11:22:07.984",6.108269,75.06709,75,4.097912,81.54958
﻿"2022-05-20 11:23:07.973",6.18324,74.98026,75,4.175874,76.26658
﻿"2022-05-20 11:24:07.959",6.258212,75.02858,75,4.251637,75.49871
﻿"2022-05-20 11:25:07.951",6.333225,74.95783,75,4.326458,74.41071
﻿"2022-05-20 11:26:07.951",6.408226,75.0405,75,4.390206,115.2666
﻿"2022-05-20 11:27:07.949",6.483212,74.9333,75,4.479122,78.21541
﻿"2022-05-20 11:28:07.945",6.558196,74.92192,75,4.555396,75.65424
﻿"2022-05-20 11:29:07.947",6.633173,74.92289,75,4.63025,74.06044
﻿"2022-05-20 11:30:07.951",6.708211,75.00078,75,4.70364,72.77908
﻿"2022-05-20 11:31:07.941",6.783173,75.07869,75,4.772728,82.03117
﻿"2022-05-20 11:32:07.943",6.858188,75.00312,75,4.858911,82.5613
﻿"2022-05-20 11:33:07.932",6.933145,75.00227,75,4.936997,76.22412
﻿"2022-05-20 11:34:07.918",7.008128,74.98296,75,5.012016,74.04692
﻿"2022-05-20 11:35:07.909",7.083128,75.10963,75,5.085848,73.49209
﻿"2022-05-20 11:36:07.898",7.158112,74.96475,75,5.152548,0
﻿"2022-05-20 11:37:07.897",7.233104,75.04762,75,5.240036,80.76959
﻿"2022-05-20 11:38:07.885",7.308088,74.94967,75,5.317732,76.52985
﻿"2022-05-20 11:39:07.889",7.383113,74.96254,75,5.3935,75.11688
﻿"2022-05-20 11:40:07.876",7.458095,74.97775,75,5.467654,73.5945
﻿"2022-05-20 11:41:07.868",7.533116,74.92977,75,5.54039,72.13531
﻿"2022-05-20 11:42:07.870",7.608086,74.99856,75,5.6171,96.47147
﻿"2022-05-20 11:43:07.873",7.683105,74.96955,75,5.699904,77.35446
﻿"2022-05-20 11:44:07.862",7.758079,74.93488,75,5.775488,75.10241
﻿"2022-05-20 11:45:07.853",7.833106,75.01238,75,5.84965,73.19241
﻿"2022-05-20 11:46:07.852",7.908083,75.04654,75,5.921783,71.91782
﻿"2022-05-20 11:47:07.857",7.983106,74.97868,75,5.996136,76.90706
﻿"2022-05-20 11:48:07.847",8.058088,75.04552,75,6.073025,76.24501
﻿"2022-05-20 11:49:07.849",8.133088,74.97266,75,6.149892,77.10175
﻿"2022-05-20 11:50:07.824",8.20806,74.97054,75,6.226892,77.07287
﻿"2022-05-20 11:51:07.823",8.283051,74.96282,75,6.310855,82.74078
﻿"2022-05-20 11:52:07.827",8.358061,74.99693,75,6.38931,76.06401
﻿"2022-05-20 11:53:07.815",8.433033,75.00374,75,6.447737,0
﻿"2022-05-20 11:54:07.802",8.508023,74.88921,75,6.536342,79.83504
﻿"2022-05-20 11:55:07.807",8.583023,75.04394,75,6.613929,76.6842
﻿"2022-05-20 11:56:07.811",8.658029,75.00711,75,6.689924,75.38786
﻿"2022-05-20 11:57:07.798",8.73302,75.02992,75,6.764973,74.63548
﻿"2022-05-20 11:58:07.786",8.808002,75.11559,75,6.839117,73.76962
﻿"2022-05-20 11:59:07.779",8.883004,75.01537,75,6.912518,73.05145
﻿"2022-05-20 12:00:07.761",8.957994,75.04028,75,6.987889,76.98862
﻿"2022-05-20 12:01:07.753",9.032969,74.98893,75,7.064955,76.89273
﻿"2022-05-20 12:02:07.753",9.107944,74.98827,75,7.141845,77.00838
﻿"2022-05-20 12:03:07.757",9.182956,74.9744,75,7.224154,86.78839
﻿"2022-05-20 12:04:07.761",9.257975,75.00227,75,7.303622,76.3611
﻿"2022-05-20 12:05:07.752",9.332925,75.04675,75,7.379391,75.36822
﻿"2022-05-20 12:06:07.754",9.407948,75.15002,75,7.453969,74.30655
﻿"2022-05-20 12:07:07.744",9.482908,74.9741,75,7.527271,53.59158
﻿"2022-05-20 12:08:07.733",9.557926,74.98933,75,7.60608,84.0636
﻿"2022-05-20 12:09:07.733",9.632885,74.97528,75,7.684902,76.85622
﻿"2022-05-20 12:10:07.720",9.707858,75.00578,75,7.760723,74.93648
﻿"2022-05-20 12:11:07.724",9.782852,74.98333,75,7.835161,73.24608
﻿"2022-05-20 12:12:07.717",9.85784,74.95842,75,7.907731,72.12381
﻿"2022-05-20 12:13:07.717",9.932836,74.96478,75,7.98146,76.7634
﻿"2022-05-20 12:14:07.721",10.00782,74.96349,75,8.058492,76.90414
﻿"2022-05-20 12:15:07.708",10.08279,74.95969,75,8.135413,76.98248
﻿"2022-05-20 12:16:07.696",10.15777,74.98361,75,8.212376,77.47626
﻿"2022-05-20 12:17:07.700",10.23279,74.95518,75,8.289425,77.16428
﻿"2022-05-20 12:18:07.691",10.30777,74.99827,75,8.366382,76.76284
﻿"2022-05-20 12:19:07.692",10.38274,74.97255,75,8.440712,112.6161
﻿"2022-05-20 12:20:07.696",10.45774,75.01704,75,8.528759,78.2686
﻿"2022-05-20 12:21:07.700",10.53274,74.98808,75,8.60556,76.39716
﻿"2022-05-20 12:22:07.689",10.6077,74.97769,75,8.662179,79.75631
﻿"2022-05-20 12:23:07.692",10.68272,74.96876,75,8.753446,78.76991
﻿"2022-05-20 12:24:07.683",10.75771,74.97934,75,8.830375,75.91064
﻿"2022-05-20 12:25:07.683",10.8327,74.97952,75,8.905898,74.58858
﻿"2022-05-20 12:26:07.688",10.90769,74.97579,75,8.979949,73.59855
﻿"2022-05-20 12:27:07.693",10.98268,74.97763,75,9.05325,72.90784
﻿"2022-05-20 12:28:07.680",11.05767,74.99081,75,9.127831,76.60245
﻿"2022-05-20 12:29:07.684",11.13269,75.00153,75,9.204818,76.72826
﻿"2022-05-20 12:30:07.675",11.20764,74.98705,75,9.281751,76.79465
﻿"2022-05-20 12:31:07.675",11.28265,74.99284,75,9.358617,76.67994
﻿"2022-05-20 12:32:07.679",11.35764,75.07585,75,9.43535,76.44151
﻿"2022-05-20 12:33:07.671",11.43266,74.97916,75,9.516084,88.96274
﻿"2022-05-20 12:34:07.672",11.50763,74.99523,75,9.596233,76.80923
﻿"2022-05-20 12:35:07.659",11.5826,74.98713,75,9.672477,75.82777
﻿"2022-05-20 12:36:07.650",11.65759,75.00004,75,9.747864,75.07279
﻿"2022-05-20 12:37:07.653",11.7326,74.99693,75,9.822438,74.13686
﻿"2022-05-20 12:38:07.656",11.80759,74.98979,75,9.895868,73.20555
﻿"2022-05-20 12:39:07.660",11.88258,74.99509,75,9.970106,76.00145
﻿"2022-05-20 12:40:07.650",11.95756,74.9701,75,10.04705,77.15774
﻿"2022-05-20 12:41:07.651",12.03255,74.98216,75,10.12393,76.71056
﻿"2022-05-20 12:42:07.644",12.10754,74.98096,75,10.20074,76.8626
﻿"2022-05-20 12:43:07.643",12.18254,74.98701,75,10.28248,88.18533
﻿"2022-05-20 12:44:07.631",12.25751,74.98524,75,10.36248,76.93181
﻿"2022-05-20 12:45:07.635",12.3325,74.9664,75,10.43837,75.16164
﻿"2022-05-20 12:46:07.624",12.4075,74.96927,75,10.51293,74.05001
﻿"2022-05-20 12:47:07.627",12.48247,75.00121,75,10.58613,72.53249
﻿"2022-05-20 12:48:07.617",12.55747,74.97241,75,10.65942,75.69685
﻿"2022-05-20 12:49:07.620",12.63245,75.00565,75,10.73601,77.08875
﻿"2022-05-20 12:50:07.623",12.70748,74.99475,75,10.81307,77.12784
﻿"2022-05-20 12:51:07.616",12.78248,75.00156,75,10.89649,83.74036
﻿"2022-05-20 12:52:07.615",12.85744,74.99203,75,10.97505,76.57608
﻿"2022-05-20 12:53:07.602",12.93242,74.99862,75,11.05105,75.47546
﻿"2022-05-20 12:54:07.606",13.00742,74.9929,75,11.12563,74.28729
﻿"2022-05-20 12:55:07.597",13.08239,74.96849,75,11.19679,91.7581
﻿"2022-05-20 12:56:07.586",13.1574,74.99163,75,11.27805,76.82467
﻿"2022-05-20 12:57:07.586",13.23237,74.99189,75,11.35392,74.9269
﻿"2022-05-20 12:58:07.578",13.30739,74.99079,75,11.42827,73.90683
﻿"2022-05-20 12:59:07.578",13.38235,75.05415,75,11.50129,72.29881
﻿"2022-05-20 13:00:07.582",13.45736,74.99301,75,11.5745,76.37973
﻿"2022-05-20 13:01:07.586",13.53235,74.99165,75,11.65132,77.26118
﻿"2022-05-20 13:02:07.576",13.60734,74.98793,75,11.72833,76.73965
﻿"2022-05-20 13:03:07.578",13.68232,74.98424,75,11.80151,113.384
﻿"2022-05-20 13:04:07.586",13.75735,74.97885,75,11.89034,78.2858
﻿"2022-05-20 13:05:07.586",13.83232,74.98312,75,11.96731,76.6768
﻿"2022-05-20 13:06:07.575",13.90731,74.9674,75,12.04315,75.29778
﻿"2022-05-20 13:07:07.578",13.98233,74.97067,75,12.11167,0
﻿"2022-05-20 13:08:07.566",14.05728,74.99261,75,12.19148,81.85611
﻿"2022-05-20 13:09:07.570",14.13228,74.98834,75,12.26966,76.68578
﻿"2022-05-20 13:10:07.545",14.20726,74.98814,75,12.34558,75.5005
﻿"2022-05-20 13:11:07.545",14.28225,74.99402,75,12.42033,73.89379
﻿"2022-05-20 13:12:07.533",14.35721,74.93938,75,12.49385,73.09771
﻿"2022-05-20 13:13:07.537",14.43223,75.21965,75,12.5668,74.79885
﻿"2022-05-20 13:14:07.543",14.50722,75.11037,75,12.64324,77.25235
﻿"2022-05-20 13:15:07.529",14.58221,74.98095,75,12.72394,95.41387
﻿"2022-05-20 13:16:07.533",14.65719,74.97784,75,12.80664,77.40569
﻿"2022-05-20 13:17:07.537",14.73218,74.97474,75,12.88313,75.97279
﻿"2022-05-20 13:18:07.527",14.80719,74.98544,75,12.95827,74.54768
﻿"2022-05-20 13:19:07.529",14.88217,74.98006,75,13.03234,73.48193
﻿"2022-05-20 13:20:07.502",14.95712,74.98727,75,13.1058,89.02713
﻿"2022-05-20 13:21:07.504",15.03214,74.97518,75,13.18617,76.81956
﻿"2022-05-20 13:22:07.510",15.10714,75.00832,75,13.26247,75.71295
﻿"2022-05-20 13:23:07.496",15.18209,74.92542,75,13.33735,73.97976
﻿"2022-05-20 13:24:07.484",15.25706,75.03754,75,13.41055,72.19839
﻿"2022-05-20 13:25:07.471",15.33206,74.98068,75,13.4827,73.95847
﻿"2022-05-20 13:26:07.476",15.40705,74.98056,75,13.55886,76.74963
﻿"2022-05-20 13:27:07.467",15.48203,74.98389,75,13.64074,91.17537
﻿"2022-05-20 13:28:07.467",15.55701,75.25455,75,13.72188,77.19586
﻿"2022-05-20 13:29:07.471",15.63202,74.99711,75,13.7982,75.64241
﻿"2022-05-20 13:30:07.459",15.70699,74.9904,75,13.87339,74.73029
﻿"2022-05-20 13:31:07.464",15.78199,75.00013,75,13.94767,73.84897
﻿"2022-05-20 13:32:07.450",15.85697,74.9696,75,14.02082,72.73007
﻿"2022-05-20 13:33:07.455",15.93197,74.95448,75,14.09833,93.17596
﻿"2022-05-20 13:34:07.448",16.00695,74.95412,75,14.1801,77.26029
﻿"2022-05-20 13:35:07.449",16.08194,74.98016,75,14.25647,75.91057
﻿"2022-05-20 13:36:07.451",16.15696,75.02515,75,14.33134,74.44042
﻿"2022-05-20 13:37:07.441",16.23192,74.96845,75,14.40062,92.74654
﻿"2022-05-20 13:38:07.443",16.30694,74.97626,75,14.48205,77.51631
﻿"2022-05-20 13:39:07.433",16.3819,74.99125,75,14.55825,75.07506
﻿"2022-05-20 13:40:07.435",16.45691,75.00349,75,14.61359,59.13228
﻿"2022-05-20 13:41:07.422",16.53188,74.98808,75,14.70664,79.93668
﻿"2022-05-20 13:42:07.427",16.60688,75.00478,75,14.78426,76.60969
﻿"2022-05-20 13:43:07.430",16.68189,74.98904,75,14.85977,74.99432
﻿"2022-05-20 13:44:07.418",16.75688,74.98306,75,14.93452,73.80451
﻿"2022-05-20 13:45:07.409",16.83183,74.98456,75,15.00843,85.55895
﻿"2022-05-20 13:46:07.410",16.90684,74.99539,75,15.08795,77.05158
﻿"2022-05-20 13:47:07.405",16.98184,74.97323,75,15.16401,75.44048
﻿"2022-05-20 13:48:07.404",17.05684,74.97734,75,15.23873,74.18783
﻿"2022-05-20 13:49:07.406",17.1318,74.97577,75,15.31095,30.09147
﻿"2022-05-20 13:50:07.396",17.2068,74.97509,75,15.38951,83.23548
﻿"2022-05-20 13:51:07.398",17.28179,74.97903,75,15.46794,76.41639
﻿"2022-05-20 13:52:07.405",17.35679,75.04459,75,15.54364,75.04956
﻿"2022-05-20 13:53:07.390",17.43175,74.97104,75,15.61814,73.73898
﻿"2022-05-20 13:54:07.394",17.50674,74.95745,75,15.69137,72.99659
﻿"2022-05-20 13:55:07.381",17.58173,75.02369,75,15.76477,75.49281
﻿"2022-05-20 13:56:07.386",17.6567,74.96721,75,15.84545,90.64979
﻿"2022-05-20 13:57:07.391",17.73171,74.98075,75,15.92617,76.69267
﻿"2022-05-20 13:58:07.380",17.8067,74.99239,75,16.00215,75.45911
﻿"2022-05-20 13:59:07.382",17.88171,74.9694,75,16.07728,74.35896
﻿"2022-05-20 14:00:07.369",17.95667,74.98273,75,16.15092,73.37629
﻿"2022-05-20 14:01:07.374",18.03169,74.98853,75,16.22375,73.0982
﻿"2022-05-20 14:02:07.365",18.10667,74.9875,75,16.29955,76.99017
﻿"2022-05-20 14:03:07.365",18.18168,74.98833,75,16.3826,85.66243
﻿"2022-05-20 14:04:07.369",18.25666,74.97753,75,16.46227,77.12798
﻿"2022-05-20 14:05:07.374",18.33165,74.98056,75,16.53829,75.35448
﻿"2022-05-20 14:06:07.364",18.40662,74.94232,75,16.61301,74.49623
