Time Stamp,time,P up,P down,T,Water in,Water out,Gas in,Gas out,Meter measure
44:00.7,0,1335.264875,1191.125132,7.009809,0,0,0,0,0
44:10.7,0.166650005,1335.297807,1191.102706,6.997661,0,0,0,0,0
44:20.7,0.333333338,1335.072741,1171.472282,6.996235,0,0,0,0.03977277,0.26214
44:30.7,0.500000002,1268.833656,883.968473,6.964428,0,0,0,0.04513808,0
44:40.6,0.666649996,1154.06748,998.471559,6.917663,0,0,0,0.04513808,0
44:50.7,0.833333329,1150.370978,1001.515406,6.907416,0,0,0,0.04513808,0
45:00.7,1.000033332,1150.358673,1002.181435,6.863023,0,0,0,0.04513808,0
45:10.7,1.166683336,1150.401926,1003.069622,6.830469,0,0,0,0.04513808,0
45:20.7,1.333333331,1150.431607,1003.829388,6.840742,0,0,0,0.04513808,0
45:30.7,1.500000005,1150.445702,1003.611565,6.785664,0,0,0,0.04513808,0
45:40.7,1.666666669,1150.528032,1003.670169,6.744519,0,0,0,0.04513808,0
45:50.7,1.833333332,1150.589481,1003.115669,6.767613,0,0,0,0.04513808,0
46:00.7,1.999999996,1150.624233,1003.318692,6.772275,0,0,0,0.04513808,0
46:10.7,2.16666667,1150.627663,1003.336034,6.785853,0,0,0,0.04513808,0
46:20.7,2.333333334,1150.619087,1002.990088,6.81774,0,0,0,0.04513808,0
46:30.7,2.500016667,1150.704549,1002.606916,6.791737,0,0,0,0.04513808,0
46:40.7,2.666666661,1150.719017,1002.975586,6.797206,0,0,0,0.04513808,0
46:50.7,2.833349995,1150.750189,1002.529325,6.827321,0,0,0,0.04513808,0
47:00.7,2.999999999,1150.764656,1003.229888,6.796533,0,0,0,0.04513808,0
47:10.7,3.166666663,1150.843556,1003.738193,6.765734,0,0,0,0.04513808,0
47:20.7,3.333349996,1150.942665,1004.474636,6.781289,0,0,0,0.04513808,0
47:30.7,3.500000001,1150.976597,1004.68633,6.762404,0,0,0,0.04513808,0
47:40.7,3.666666665,1151.003742,1004.711446,6.734981,0,0,0,0.04513808,0
47:50.7,3.833333328,1151.104119,1004.445483,6.761358,0,0,0,0.04513808,0
48:00.7,4.000016662,1151.088011,1004.298823,6.734243,0,0,0,0.04513808,0
48:10.7,4.166666666,1151.12664,1004.465218,6.713811,0,0,0,0.04513808,0
48:20.7,4.33335,1151.14066,1004.362361,6.748181,0,0,0,0.04513808,0
48:30.7,4.500016663,1151.206211,1004.733423,6.731555,0,0,0,0.04513808,0
48:40.7,4.666683337,1151.219784,1004.74329,6.704653,0,0,0,0.04513808,0
48:50.7,4.833350001,1151.291673,1004.831645,6.764402,0,0,0,0.04513808,0
49:00.7,5.000016665,1151.320161,1004.637144,6.763903,0,0,0,0.04513808,0
49:10.7,5.166683329,1151.256325,1004.708157,6.736004,0,0,0,0.04513808,0
49:20.7,5.333350003,1151.309497,1004.499005,6.769135,0,0,0,0.04513808,0
49:30.7,5.500016666,1151.353346,1004.224969,6.761834,0,0,0,0.04513808,0
49:40.7,5.66668333,1151.367515,1004.285517,6.733292,0,0,0,0.04513808,0
49:50.7,5.833350004,1151.474753,1004.171298,6.756006,0,0,0,0.04513808,0
50:00.7,6.000016668,1151.462971,1003.728176,6.789399,0,0,0,0.04928906,0
50:10.7,6.166683332,1142.520385,978.307713,6.800053,0,0,0,0.05197419,0
50:20.7,6.333366665,1131.109165,982.445911,6.834987,0,0,0,0.0604664,0
50:30.7,6.50001667,1131.014978,982.882455,6.833418,0,0,0,0.0604664,0
50:40.7,6.666700003,1131.042346,982.809947,6.786307,0,0,0,0.0604664,0
50:50.7,6.833349997,1131.043912,983.120012,6.793822,0,0,0,0.0604664,0
51:00.7,7.00005,1131.182248,983.487038,6.800743,0,0,0,0.0604664,0
51:10.7,7.166700005,1131.168825,983.387022,6.762856,0,0.2,0,0.0604664,0
51:20.7,7.333349999,1131.295377,983.226158,6.769897,0,0,0,0.0604664,0
51:30.7,7.500016663,1131.312007,983.551623,6.742164,0,0,0,0.0604664,0
51:40.7,7.666699996,1131.38166,983.77139,6.707484,0,0,0,0.0604664,0
51:50.7,7.83336667,1131.370623,983.658367,6.730128,0,0,0,0.0604664,0
52:00.7,8.000033334,1131.387029,983.649696,6.732055,0,0,0,0.0604664,0
52:10.7,8.166683338,1131.416486,983.550726,6.714049,0,0,0,0.0604664,0
52:20.7,8.333366672,1131.418872,983.860044,6.742901,0,0,0,0.0604664,0
52:30.7,8.500050005,1131.41753,983.949446,6.750037,0,0,0,0.0604664,0
52:40.7,8.666699999,1131.45616,983.757935,6.728369,0,0,0,0.0604664,0
52:50.7,8.833383332,1131.446017,983.704862,6.771894,0,0,0,0.0604664,0
53:00.7,9.000033337,1131.462498,983.799646,6.782454,0,0,0,0.0604664,0
53:10.7,9.166700001,1131.499935,983.636689,6.75496,0,0,0,0.0604664,0
53:20.7,9.333366664,1131.509257,983.600958,6.804215,0,0,0,0.0604664,0
53:30.7,9.500049998,1131.63126,982.484333,6.813585,0,0,0,0.06438365,0
53:40.7,9.666716661,1126.865138,942.332904,6.832467,0,0.3,0,0.06752867,0
53:50.7,9.833366666,1098.803177,943.161739,6.875626,0,1,0,0.07453667,0
54:00.7,10.00003333,1096.177339,945.527748,6.871869,0,0.5,0,0.07910402,0
54:10.7,10.16671666,1096.271079,945.897465,6.837984,0,0,0,0.07910402,0
54:20.7,10.33338334,1096.261384,945.82092,6.888156,0,0,0,0.07910402,0
54:30.7,10.50005,1096.272197,945.976252,6.92917,0,0,0,0.07910402,0
54:40.7,10.6667,1096.31903,946.033361,7.042974,0,0,0,0.07910402,0
54:50.7,10.83338333,1096.404716,946.164175,7.111911,0,0,0,0.07910402,0
55:00.7,11.00005,1096.388235,945.966086,7.119872,0,0,0,0.07910402,0
55:10.7,11.16671667,1096.442823,946.117979,7.148176,0,0,0,0.07910402,0
55:20.7,11.33335,1096.628588,946.762778,7.192706,0,0,0,0.07910402,0
55:30.7,11.50005,1096.684594,946.64243,7.213996,0,0,0,0.07910402,0
55:40.7,11.66671667,1096.720315,946.162531,7.212166,0,0,0,0.07910402,0
55:50.7,11.83338333,1096.805106,947.065519,7.231765,0,0,0,0.07910402,0
56:00.7,12.00005,1096.826732,947.434937,7.293207,0,0,0,0.07910402,0
56:10.7,12.16671667,1096.898398,947.416847,7.320977,0,0,0,0.07910402,0
56:20.7,12.33338333,1096.939862,948.975249,7.353305,0,0.4,0,0.07910402,0
56:30.7,12.50005,1096.911971,949.924284,7.409714,0,1,0,0.07910402,0
56:40.7,12.66671667,1096.956641,949.339285,7.475838,0,1,0,0.07910402,0
56:50.7,12.8334,1097.064326,948.788821,7.493292,0,1,0,0.07910402,0
57:00.7,13.00005,1097.070292,948.362742,7.506541,0,1,0,0.07910402,0
57:10.7,13.16671666,1097.117871,948.325815,7.537235,0,1,0,0.07910402,0
57:20.7,13.3334,1097.135246,948.236563,7.605705,0,1,0,0.07910402,0
57:30.7,13.50006667,1097.155083,947.978374,7.611593,0,1,0,0.07910402,0
57:40.7,13.66673333,1097.196919,948.728721,7.641052,0,1,0,0.07910402,0
57:50.7,13.83338334,1097.215712,948.879419,7.677805,0,1,0,0.07910402,0
58:00.7,14.00006667,1097.223319,947.438226,7.739339,0,1,0,0.09221558,0
58:10.7,14.16671667,1060.762942,793.837845,7.738224,0,1,0,0.09524506,0
58:20.7,14.3334,1004.370477,851.170119,7.747242,0,1,0,0.1153102,0
58:30.7,14.50006666,1002.430872,853.284815,7.758633,0,1,0,0.1153102,0
58:40.7,14.66673334,1002.467041,853.539864,7.792683,0,1,0,0.1153102,0
58:50.7,14.8334,1002.464729,853.63704,7.656677,0,1,0,0.1153102,0
59:00.7,15.00005001,1002.40932,855.404146,7.458811,0,1,0,0.1153102,0
59:10.7,15.16673334,1002.375016,856.067484,7.305805,0,1,0,0.1153102,0
59:20.7,15.3334,1002.317221,855.929644,7.162611,0,1,0,0.1153102,0
59:30.7,15.50006667,1002.314313,856.368281,7.059374,0,1,0,0.1153102,0
59:40.7,15.66673333,1002.267555,856.362151,6.971399,0,1,0,0.1153102,0
59:50.7,15.8334,1002.208641,856.341669,6.854231,0,1,0,0.1153102,0
00:00.7,16.00008334,1002.178736,856.297865,6.764932,0,1,0,0.1153102,0
00:10.7,16.16673333,1002.14667,856.33838,6.697428,0,1,0,0.1153102,0
00:20.7,16.33339999,1002.057553,856.509111,6.681729,0,1,0,0.1153102,0
00:30.7,16.50006667,1002.042489,856.450955,6.722523,0,1,0,0.1153102,0
00:40.7,16.66675,1002.03093,856.366636,6.777157,0,1,0,0.1153102,0
00:50.7,16.83341667,1002.089173,856.682682,6.798728,0,1,0,0.1153102,0
01:00.7,17.00006667,1001.998416,856.682084,6.840915,0,1,0,0.1153102,0
01:10.7,17.16673333,1002.055763,856.677449,6.886713,0,1,0,0.1153102,0
01:20.7,17.33341667,1002.025561,856.615855,6.88997,0,1,0,0.1153102,0
01:30.7,17.50008333,1002.094915,856.576984,6.897555,0,1,0,0.1153102,0
01:40.7,17.66674999,1002.211176,856.477417,6.902072,0,1,0,0.1153102,0
01:50.7,17.8334,1002.23064,854.640942,6.849238,0,0.9,0,0.1153102,0
02:00.7,18.00008333,1002.223034,852.540597,6.864076,0,1,0,0.1153102,0
02:10.7,18.16673334,1002.175754,851.569586,6.88267,0,1,0,0.1153102,0
02:20.7,18.33341667,1002.25704,851.020468,6.898887,0,1,0,0.1153102,0
02:30.7,18.5001,1002.294923,851.992376,6.924303,0,1,0,0.1153347,0.1693278
02:40.7,18.66675,1000.808656,815.995739,6.908896,0,1,0,0.1255268,0
02:50.7,18.83341666,965.327664,801.206467,6.880578,0,1,0,0.1348008,0.26214
03:00.7,19.00006667,957.566337,816.97587,6.88978,0,1,0,0.1417791,0
03:10.7,19.16676667,957.735323,822.221275,6.88726,0,1,0,0.1417791,0
03:20.7,19.33343333,957.714815,838.501523,6.864266,0,1,0,0.1417791,0
03:30.7,19.50008334,957.782901,807.350375,6.884097,0,1,0,0.1417791,0
03:40.7,19.66675,957.811687,813.185712,6.903666,0,1,0,0.1417791,0
03:50.7,19.83341667,957.852106,818.474472,6.870282,0,1,0,0.1417791,0
04:00.7,20.0001,957.869706,821.824946,6.879247,0,1,0,0.1417791,0
04:10.7,20.16676666,957.897447,828.50377,6.88443,0,1,0,0.1417791,0
04:20.7,20.33343334,957.893942,833.094657,6.853161,0,1,0,0.1417791,0
04:30.7,20.5001,957.904457,834.221599,6.860224,0,1,0,0.1417791,0
04:40.7,20.66675,957.993648,837.360529,6.828446,0,1,0,0.1417791,0
04:50.7,20.83343334,958.016393,839.548182,6.788398,0,1,0,0.1417791,0
05:00.7,21.00008333,958.044657,843.572609,6.852699,0,1,0,0.1417791,0
05:10.7,21.16676667,958.044881,846.627221,6.832071,0,1,0,0.1417791,0
05:20.7,21.33343333,958.18523,847.310891,6.803785,0,1,0,0.1417791,0
05:30.7,21.50008333,958.241459,847.752518,6.816437,0,1,0,0.1417791,0
05:40.7,21.66676667,958.279417,848.013696,6.832417,0,1,0,0.1417791,0
05:50.7,21.83343333,958.36048,848.72921,6.82048,0,1,0,0.1417791,0
06:00.7,22.0001,958.366893,848.793944,6.829516,0,1,0,0.1417791,0
06:10.7,22.16676667,958.389414,848.633978,6.860525,0,1,0,0.1417791,0
06:20.7,22.33341666,958.4226,848.680323,6.845948,0,1,0,0.1417791,0
06:30.7,22.50011667,958.419095,848.946286,6.859502,0,1,0,0.1417791,0
06:40.7,22.66676667,958.427522,849.162016,6.874673,0,1,0,0.1417791,0
06:50.7,22.83343333,958.465779,849.151252,6.86509,0,1,0,0.1417791,0
07:00.7,23.0001,958.453026,849.192515,6.865471,0,1,0,0.1417791,0
07:10.7,23.16676666,958.48308,848.96901,6.877734,0,1,0,0.1417791,0
07:20.7,23.33344999,958.585172,848.95092,6.820004,0,1,0,0.1417791,0
07:30.7,23.5001,958.665041,849.056319,6.830182,0,1,0,0.1417791,0
07:40.7,23.66678333,958.653631,849.19685,6.85408,0,1,0,0.1417791,0
07:50.7,23.83343334,958.645876,849.282514,6.810871,0,1,0,0.1417791,0
08:00.7,24.00011667,958.690322,817.292962,6.81558,0,1,0,0.1422761,0.1411766
08:10.7,24.16678333,957.773281,787.145566,6.842167,0,1,0,0.1525338,0.01029204
08:20.7,24.33346667,929.931165,740.824516,6.857385,0,1,0,0.1526466,0
08:30.7,24.50011666,908.122787,755.054353,6.861119,0,1,0,0.1526466,0
08:40.7,24.66676667,906.941156,756.657606,6.892815,0,1.7,0,0.1562026,0
08:50.7,24.83345,906.938396,756.139135,6.868181,0,1.5,0,0.1622031,0
09:00.7,25.00011666,906.952044,757.853019,6.871153,0,1,0,0.1712455,0
09:10.7,25.16678334,906.963975,758.597087,6.894669,0,1,0,0.1712455,0
09:20.7,25.33345,907.009913,759.311703,6.897475,0,1,0,0.1712455,0
09:30.7,25.50008334,906.983887,759.814028,6.976335,0,1,0,0.1712455,0
09:40.7,25.66681667,907.048394,760.201834,7.048243,0,1,0,0.1712455,0
09:50.7,25.83346666,907.047051,759.842433,7.058819,0,1,0,0.1712455,0
10:00.7,26.00011667,906.988734,760.286452,7.043322,0,1,0,0.1712455,0
10:10.7,26.16678333,907.079789,761.062215,7.014798,0,1,0,0.1712455,0
10:20.7,26.33345,907.058088,761.407114,6.932615,0,1,0,0.1712455,0
10:30.7,26.50011667,907.103206,761.487546,6.915141,0,1,0,0.1712455,0
10:40.7,26.6668,907.213352,761.210221,6.904251,0,1,0,0.1712455,0
10:50.7,26.83348333,907.249894,761.236384,6.855626,0,1,0,0.1712455,0
11:00.7,27.00011667,907.315966,761.314722,6.855745,0,1,0,0.1712455,0
11:10.7,27.16678333,907.325885,761.275254,6.88076,0,1,0,0.1712455,0
11:20.7,27.33346667,907.342739,761.295885,6.856743,0,1,0,0.1712455,0
11:30.7,27.50013333,907.369511,761.404274,6.854104,0,1,0,0.1712455,0
11:40.7,27.6668,907.456465,761.627479,6.879404,0,1,0,0.1712455,0
11:50.7,27.83346667,907.423428,761.861,6.869251,0,1,0,0.1712455,0
12:00.7,28.00011666,907.433943,761.747828,6.891863,0,1,0,0.1712455,0
12:10.7,28.1668,907.476525,761.707164,6.901632,0,1,0,0.1712455,0
12:20.7,28.33346667,907.565119,761.689522,6.817228,0,1,0,0.1712455,0
12:30.7,28.50013333,907.519629,761.557961,6.835588,0,1,0,0.1712455,0
12:40.7,28.6668,907.564001,761.691316,6.877475,0,1,0,0.1712455,0
12:50.7,28.83345,907.579065,761.788343,6.784742,0,1,0,0.1712455,0
13:00.7,29.00013334,907.58421,761.92409,6.798703,0,1,0,0.1712455,0
13:10.7,29.16681667,907.651327,761.728841,6.859198,0,1,0,0.1712455,0
13:20.7,29.33346666,907.686601,761.661267,6.77725,0,1,0,0.1712455,0
13:30.7,29.50015,907.707929,761.437314,6.764193,0,1,0,0.1712455,0
13:40.7,29.66681667,907.760057,761.354041,6.798227,0,1,0,0.1712455,0
13:50.7,29.83348333,907.770646,761.650652,6.774206,0,1,0,0.1712455,0
14:00.7,30.00015,907.77169,761.501599,6.799297,0,1,0,0.1712455,0
14:10.7,30.1668,907.823221,761.511317,6.812163,0,1,0,0.1712455,0
14:20.7,30.33348334,907.828367,761.546001,6.774278,0,1,0,0.1712455,0
14:30.7,30.50016667,907.805025,761.465719,6.786573,0,1,0,0.1712455,0
14:40.7,30.66683333,907.774301,761.828858,6.82919,0,1,0,0.1712455,0
14:50.7,30.83348334,907.870501,761.42625,6.811806,0,1,0,0.1712455,0
15:00.7,31.00013333,907.795256,761.616865,6.816015,0,1,0,0.1712455,0
15:10.7,31.16681666,907.845295,761.922894,6.839392,0,1,0,0.1712455,0
15:20.7,31.33348333,907.920914,761.803293,6.780675,0,1,0,0.1712455,0
15:30.7,31.50015,907.887281,761.619107,6.808595,0,1,0,0.1712455,0
15:40.7,31.66681667,907.918304,761.950253,6.83152,0,1,0,0.1712455,0
15:50.7,31.83348333,907.950818,761.708808,6.794398,0,1,0,0.1712455,0
16:00.7,32.00015,907.974234,761.756947,6.820629,0,1,0,0.1712455,0
16:10.7,32.16681667,907.973116,761.762928,6.846074,0,1,0,0.1712455,0
16:20.7,32.33348333,908.00302,761.645419,6.813376,0,1,0,0.1712455,0
16:30.7,32.50016666,908.041948,761.872064,6.828904,0,1,0,0.1712455,0
16:40.7,32.66681667,908.04247,761.754406,6.845622,0,1,0,0.1712455,0
16:50.7,32.83348333,908.0591,761.895087,6.825932,0,1,0,0.1712455,0
17:00.7,33.00015,908.060741,761.899273,6.834992,0,1,0,0.1712455,0
17:10.7,33.16683333,908.054253,762.141016,6.835087,0,1,0,0.1712455,0
17:20.7,33.33348333,908.177748,762.017528,6.832591,0,1,0,0.1712455,0
17:30.7,33.50015,908.163504,762.161648,6.856204,0,1,0,0.1712455,0
17:40.7,33.66681666,908.158955,761.931565,6.866904,0,1,0,0.1712455,0
17:50.7,33.8335,908.150603,762.138774,6.824386,0,1,0,0.1712455,0
18:00.7,34.00016667,908.095269,761.670685,6.798344,0,1,0,0.1712455,0
18:10.7,34.16681666,908.170365,761.452264,6.82452,0,1,0,0.1712455,0
18:20.7,34.3335,908.172155,761.868027,6.779215,0,1,0,0.1712455,0
18:30.7,34.50016667,908.155003,761.696698,6.7938,0,1,0,0.1712455,0
18:40.7,34.66683334,908.181029,761.995402,6.855528,0,1,0,0.1712455,0
18:50.7,34.8335,908.161864,762.007362,6.778621,0,1,0,0.1712455,0
19:00.7,35.00016666,908.191693,761.712247,6.792295,0,1,0,0.1712455,0
19:10.7,35.16683334,908.203252,761.403825,6.841499,0,1,0,0.1712455,0
19:20.7,35.33348333,908.187293,761.733924,6.826137,0,1,0,0.1712455,0
19:30.7,35.50016666,908.168724,761.652446,6.821357,0,1,0,0.1712455,0
19:40.7,35.66685,908.169694,762.035319,6.835197,0,1,0,0.1712455,0
19:50.7,35.8335,908.149633,761.898675,6.829133,0,1,0,0.1712455,0
20:00.7,36.00016667,908.202134,761.699688,6.838407,0,1,0,0.1712455,0
20:10.7,36.16681667,908.233604,761.908243,6.857074,0,1,0,0.1712455,0
20:20.7,36.33351666,908.251502,761.624489,6.808824,0,1,0,0.1712455,0
20:30.7,36.50018334,908.207801,761.913176,6.805828,0,1,0,0.1712455,0
20:40.7,36.66685,908.247475,761.933658,6.852628,0,1,0,0.1712455,0
20:50.7,36.83349999,908.257319,761.737512,6.82207,0,1,0,0.1712455,0
21:00.7,37.0002,908.283121,761.64512,6.823663,0,1,0,0.1712455,0
21:10.7,37.16685,908.316382,761.675469,6.852152,0,1,0,0.1712455,0
21:20.7,37.33351667,908.310192,761.824373,6.793841,0,1,0,0.1712455,0
21:30.7,37.50016667,908.268654,761.632114,6.777526,0,1,0,0.1712455,0
21:40.7,37.66685,908.32011,761.646316,6.825471,0,1,0,0.1712455,0
21:50.7,37.83351667,908.302884,761.766665,6.842355,0,1,0,0.1712455,0
22:00.7,38.00018333,908.270668,761.844854,6.819502,0,1,0,0.1712455,0
22:10.7,38.16683334,908.328761,761.46841,6.838788,0,1,0,0.1712455,0
22:20.7,38.33351667,908.2606,761.686084,6.837861,0,1,0,0.1712455,0
22:30.7,38.50018333,908.311758,761.845751,6.827944,0,1,0,0.1712455,0
22:40.7,38.66685,908.25001,761.618659,6.851938,0,1,0,0.1712455,0
22:50.7,38.83353333,908.323988,761.370785,6.829704,0,1,0,0.1712455,0
23:00.7,39.00018333,908.34733,761.650054,6.824686,0,1,0,0.1712455,0
23:10.7,39.16685,908.313324,761.419373,6.865135,0,1,0,0.1712455,0
23:20.7,39.3335,908.33249,761.503543,6.843734,0,1,0,0.1712455,0
