Time Stamp,time,P up,P down,T,Water in,,Water out,Gas in,MFC measure,MFC set,Gas out,Meter measure
17:38.3,0,373.290633,156.396543,9.014018,0,0,0,0.1602499,150.6662,150,0,0
18:38.3,0.016666667,412.373591,159.582018,9.102066,0,2.183333,0,0.3211349,149.4088,150,6.13E-05,0
19:38.3,0.033333333,424.461214,159.228597,9.154338,0,5.333333,0,0.4819729,149.5788,150,0.001214667,0
20:38.3,0.05,413.707876,159.813172,9.140082,0,9.433333,0,0.6428449,149.4012,150,0.003139293,0
21:38.3,0.066666667,373.013664,158.057453,9.057277,0,13.533333,0,0.8035739,148.7569,150,0.08332849,0.1602675
22:38.3,0.083333333,347.173012,155.302617,8.968358,0,15.05,1.516667,0.9642269,147.9193,150,0.2086294,0.1416712
23:38.3,0.1,333.827457,152.156386,8.884152,0,16,2.466667,1.1249909,150.241,150,0.332784,0
24:38.3,0.116666667,329.731571,154.950741,8.809966,0,16.7,3.166667,1.2858829,149.8885,150,0.4425108,0.1377816
25:38.3,0.133333333,328.575321,154.633897,8.741421,0,17,3.466667,1.4467809,148.8438,150,0.538396,0.1527913
26:38.3,0.15,326.214421,152.441036,8.710821,0,17.866667,4.333334,1.6076489,149.8573,150,0.640834,0
27:38.3,0.166666667,323.28105,151.812358,8.632505,0,18,4.466667,1.7687529,150.7552,150,0.756422,0
28:38.3,0.183333333,321.96178,152.680488,8.617648,0,18.483333,4.95,1.9296309,150.7724,150,0.8678058,0.1567399
29:38.3,0.2,320.565263,150.721322,8.609856,0,19,5.466667,2.0904359,151.401,150,0.9795526,0.05870898
30:38.3,0.216666667,319.801609,151.019627,8.590317,0,19,5.466667,2.2515149,148.1098,150,1.088285,0.1326802
31:38.3,0.233333333,319.12297,151.22123,8.537084,0,19,5.466667,2.4123959,148.2693,150,1.194951,0.1326357
32:38.3,0.25,318.672081,151.08324,8.469872,0,19.883333,6.35,2.5731459,152.0669,150,1.298349,0
33:38.3,0.266666667,317.886651,151.981469,8.464114,0,20,6.466667,2.7343959,147.6297,150,1.412104,0.1371328
34:38.3,0.283333333,317.388159,151.985307,8.455868,0,20,6.466667,2.8953769,150.1001,150,1.519333,0.1327475
35:38.3,0.3,317.00476,150.76839,8.444139,0,20.716667,7.183334,3.0561019,149.4731,150,1.628216,0.1372817
36:38.3,0.316666667,316.111061,151.619053,8.37819,0,21,7.466667,3.2174189,149.421,150,1.733632,0.1563098
37:38.3,0.333333333,315.931548,150.224006,8.358017,0,21,7.466667,3.3783099,149.4968,150,1.849364,0.1260186
38:38.3,0.35,315.237546,151.827109,8.320636,0,21,7.466667,3.5392349,150.0107,150,1.950452,0.1855996
39:38.3,0.366666667,314.858124,150.824105,8.315011,0,21.016667,7.483334,3.7001669,150.2463,150,2.067921,0.1263737
40:38.3,0.383333333,314.510173,150.187827,8.305179,0,22,8.466667,3.8612119,150.2783,150,2.179464,0.1278798
41:38.3,0.4,314.090095,150.450924,8.309216,0,22,8.466667,4.0221539,152.1157,150,2.290443,0.1210791
42:38.3,0.416666667,313.422443,150.097727,8.295709,0,22,8.466667,4.1830609,149.4186,150,2.401705,0.1195927
43:38.3,0.433333333,313.442889,150.78957,8.303424,0,22,8.466667,4.3440319,149.8581,150,2.503023,0.1541414
44:38.3,0.45,313.951822,149.909455,8.268143,0,22,8.466667,4.5049779,149.3594,150,2.617631,0.1274735
45:38.3,0.466666667,312.881767,148.993112,8.20874,0,22,8.466667,4.6660019,150.1908,150,2.73298,0.121432
46:38.3,0.483333333,312.861035,149.454597,8.20439,0,22.766667,9.233334,4.8268589,150.1573,150,2.840621,0.1306096
47:38.3,0.5,312.194129,148.018836,8.194594,0,23,9.466667,4.9878169,149.4349,150,2.951377,0.1305692
48:38.3,0.516666667,312.592493,150.961696,8.211575,0,23,9.466667,5.1488329,149.2909,150,3.056701,0.1729739
49:38.3,0.533333333,313.434413,150.929553,8.206916,0,23,9.466667,5.3098939,150.4475,150,3.173118,0.1316826
50:38.3,0.55,312.910801,151.555415,8.212626,0,23,9.466667,5.4706129,149.5565,150,3.286654,0.1208043
51:38.3,0.566666667,312.397841,152.049642,8.219568,0,23,9.466667,5.6319059,149.8711,150,3.386724,0.1406789
52:38.3,0.583333333,312.586428,153.170379,8.161296,0,23,9.466667,5.7929389,149.3562,150,3.501496,0.1445746
53:38.3,0.6,312.893425,153.293144,8.089359,0,23.783333,10.25,5.9538719,149.4982,150,3.613856,0.1435765
54:38.3,0.616666667,311.55351,152.501634,8.005139,0,24,10.466667,6.1148349,148.7774,150,3.732438,0.1255382
55:38.3,0.633333333,311.145924,153.380204,7.93245,0,24,10.466667,6.2756589,150.358,150,3.834343,0.1666646
56:38.3,0.65,311.571259,153.206483,7.85336,0,24,10.466667,6.4368179,149.8245,150,3.950823,0.1374661
57:38.3,0.666666667,310.841661,152.433586,7.783358,0,24,10.466667,6.5978459,149.6906,150,4.065963,0.1281805
58:38.3,0.683333333,311.151778,153.07273,7.694157,0,24,10.466667,6.7585659,149.7173,150,4.162389,0.05332441
59:38.3,0.7,309.474999,152.775596,7.604659,0,24,10.466667,6.9196389,150.0759,150,4.294037,0.1165117
00:38.3,0.716666667,310.794617,152.954001,7.502526,0,24.983333,11.45,7.0806999,149.348,150,4.400846,0.1253194
01:38.3,0.733333333,310.307087,153.355063,7.382187,0,25,11.466667,7.2416289,149.9769,150,4.515177,0.1207491
02:38.3,0.75,309.800329,153.490187,7.310822,0,25,11.466667,7.4026499,148.889,150,4.621196,0
03:38.3,0.766666667,310.743198,155.975373,7.266313,0,25,11.466667,7.5636179,150.4535,150,4.724817,0.1916922
04:38.3,0.783333333,310.542481,154.480758,7.242349,0,25,11.466667,7.7244949,150.1915,150,4.848172,0.1291394
05:38.3,0.8,310.207543,154.456514,7.19185,0,25,11.466667,7.8855129,149.1869,150,4.944839,0
06:38.3,0.816666667,310.17596,155.485931,7.167846,0,25.4,11.866667,8.0465829,148.7491,150,5.059342,0.1584284
07:38.3,0.833333333,309.783351,154.322984,7.077808,0,26,12.466667,8.2077239,150.2221,150,5.182801,0.1372769
08:38.3,0.85,310.109875,155.142601,7.030907,0,26,12.466667,8.3685209,149.9629,150,5.297086,0.1273005
09:38.3,0.866666667,309.414158,155.036529,6.945908,0,26,12.466667,8.5296199,149.9154,150,5.399039,0
10:38.3,0.883333333,308.938585,155.228589,6.933958,0,26,12.466667,8.6905579,148.9959,150,5.524868,0.1160716
11:38.3,0.9,307.501599,153.427596,6.882639,0,26,12.466667,8.8515929,150.2127,150,5.635473,0.1197751
12:38.3,0.916666667,308.597954,155.296288,6.826016,0,26,12.466667,9.0125419,149.6338,150,5.750336,0.1110602
13:38.3,0.933333333,309.303279,155.702732,6.808271,0,26,12.466667,9.1734349,150.4529,150,5.858532,0.04319852
14:38.3,0.95,309.227697,156.429683,6.756516,0,26,12.466667,9.3344849,149.259,150,5.953409,0.1784848
15:38.3,0.966666667,309.22945,156.970728,6.700188,0,26.633333,13.1,9.4957949,150.0013,150,6.07459,0.1508643
16:38.3,0.983333333,308.512455,154.817311,6.687576,0,27,13.466667,9.6564849,150.7704,150,6.190013,0.1384016
17:38.3,1,308.91456,156.209118,6.700814,0,27,13.466667,9.8174449,151.7869,150,6.297779,0.1519199
18:38.3,1.016666667,308.551383,155.743173,6.662511,0,27,13.466667,9.9788649,149.5968,150,6.411385,0.1497393
19:38.3,1.033333333,308.594288,156.318827,6.597776,0,27,13.466667,10.1396049,150.198,150,6.529259,0
20:38.3,1.05,307.230447,155.837907,6.577215,0,27,13.466667,10.3004449,149.234,150,6.646104,0.1194581
21:38.3,1.066666667,307.400874,154.6781,6.579586,0,27,13.466667,10.4615849,150.3019,150,6.753527,0.1305254
22:38.3,1.083333333,307.718648,156.631958,6.5637,0,27,13.466667,10.6225949,146.2614,150,6.87084,0.1115381
23:38.3,1.1,308.318276,156.776875,6.566367,0,27,13.466667,10.7838049,149.1201,150,6.97944,0.1259674
24:38.3,1.116666667,307.055495,153.901092,6.550327,0,27,13.466667,10.9445049,150.8252,150,7.090377,0.1285729
25:38.3,1.133333333,308.295592,156.355231,6.510031,0,27.45,13.916667,11.1057449,148.8839,150,7.185447,0.1230753
,1.150000001,306.191029,155.027759,6.448888,0,28,14.466667,11.2667849,151.8998,150,7.318193,0.1139082
,1.166666668,308.022315,156.194318,6.456655,0,28,14.466667,11.4275849,149.4391,150,7.419392,0.1583994
,1.183333335,307.51511,156.395123,6.432358,0,28,14.466667,11.5883049,149.8023,150,7.544606,0.1149968
,1.200000002,306.059281,154.514271,6.430363,0,28,14.466667,11.7495249,150.9139,150,7.655278,0.1178399
,1.216666669,306.980088,156.37798,6.442958,0,28,14.466667,11.9105549,149.885,150,7.768375,0.1121283
,1.233333336,308.062871,156.970977,6.478384,0,28,14.466667,12.0716249,149.7741,150,7.879342,0.120989
,1.250000003,306.23294,155.975373,6.488831,0,28,14.466667,12.2326249,150.8466,150,7.99281,0.1182156
,1.26666667,307.394672,154.950516,6.494361,0,28,14.466667,12.3935249,150.8462,150,8.098801,0.1410582
,1.283333337,305.624003,154.789204,6.501214,0,28,14.466667,12.5546049,151.0056,150,8.21846,0.1121859
,1.300000004,307.066694,156.436934,6.475568,0,28,14.466667,12.7156549,149.5045,150,8.329637,0.1097415
,1.316666671,306.788855,154.731547,6.472291,0,28,14.466667,12.8764549,148.7753,150,8.436813,0.1340073
,1.333333338,307.682802,156.715729,6.483814,0,28,14.466667,13.0373549,151.1524,150,8.539389,0
,1.350000005,307.322733,156.61631,6.465179,0,28,14.466667,13.1984949,150.1173,150,8.666247,0.1148084
,1.366666672,305.910953,154.161099,6.466623,0,28.033333,14.5,13.3593649,148.835,150,8.777014,0.1234405
,1.383333339,306.172348,155.889933,6.481267,0,28,14.466667,13.5205649,149.8437,150,8.892688,0.1107888
,1.400000006,306.472635,154.578781,6.449347,0,28.866667,15.333334,13.6814149,149.2531,150,8.998774,0.130818
,1.416666673,305.161132,153.38581,6.423172,0,29,15.466667,13.8422649,148.9911,150,9.116752,0.1117525
,1.43333334,305.683663,154.871704,6.390663,0,29,15.466667,14.0033449,150.3479,150,9.226862,0.1080815
,1.450000007,306.505634,155.617442,6.411007,0,29,15.466667,14.1644049,150.1002,150,9.335894,0.1089417
,1.466666674,307.576372,156.737132,6.415291,0,29,15.466667,14.3252749,148.8499,150,9.443172,0.1080684
,1.483333341,308.178337,157.437023,6.404655,0,29,15.466667,14.4863049,149.5246,150,9.552142,0.1105075
,1.500000008,308.229507,157.381458,6.406235,0,29,15.466667,14.6474349,150.3522,150,9.66418,0.1128339
,1.516666675,308.005871,157.173626,6.401549,0,29,15.466667,14.8083349,149.903,150,9.776632,0.112655
,1.533333342,307.726453,156.681892,6.399598,0,29,15.466667,14.9692649,149.2094,150,9.88971,0.1164719
,1.550000009,307.777127,156.982888,6.405893,0,29,15.466667,15.1302749,150.2097,150,10.00168,0.1109815
,1.566666676,307.691677,156.598445,6.393004,0,29,15.466667,15.2914149,149.8167,150,10.11383,0.1121107
,1.583333343,307.764971,156.717548,6.403271,0,29,15.466667,15.4523449,150.3967,150,10.22525,0.1126102
,1.60000001,307.73933,156.895404,6.391409,0,29,15.466667,15.6135949,150.1562,150,10.33698,0.1112213
,1.616666677,307.715963,156.989864,6.389306,0,29,15.466667,15.7745149,150.8315,150,10.44896,0.1118435
,1.633333344,307.680926,155.97784,6.390271,0,29,15.466667,15.9355349,149.8429,150,10.55448,0.1917342
,1.650000011,306.811351,156.228653,6.397836,0,29,15.466667,16.0963949,148.9891,150,10.66878,0.1746196
,1.666666678,307.348386,156.330912,6.369065,0,29,15.466667,16.2575049,149.9893,150,10.77553,0.189086
,1.683333345,307.151323,156.57729,6.385633,0,29,15.466667,16.4185249,149.199,150,10.90424,0
,1.700000012,307.308389,156.727788,6.369275,0,29,15.466667,16.5795549,149.4142,150,11.01964,0.117844
,1.716666679,307.105112,156.10083,6.379372,0,29,15.466667,16.7403449,149.0634,150,11.10929,0.1295433
,1.733333346,306.6211,156.356975,6.390842,0,29,15.466667,16.9014249,149.8116,150,11.2452,0.1146306
,1.750000013,307.339276,156.817365,6.37794,0,29.233333,15.7,17.0621449,149.7703,150,11.35495,0.1226549
,1.76666668,304.411362,153.795294,6.390346,0,30,16.466667,17.2232649,149.5408,150,11.46999,0.121254
,1.783333347,304.18601,153.934904,6.374115,0,30,16.466667,17.3843649,149.6727,150,11.5832,0.1108965
,1.800000014,304.385932,154.245318,6.371652,0,30,16.466667,17.5454549,149.303,150,11.69427,0.11029
,1.816666681,306.789961,156.64631,6.3687,0,30,16.466667,17.7061549,149.3383,150,11.78625,0.1899466
,1.833333348,306.692107,156.640928,6.373314,0,30,16.466667,17.8672249,151.2616,150,11.91715,0
,1.850000015,304.600333,154.288699,6.389203,0,30,16.466667,18.0281349,149.3151,150,12.02947,0.1192534
,1.866666682,304.209066,154.197628,6.384248,0,30,16.466667,18.1893949,150.2341,150,12.14375,0.1116562
,1.883333349,304.504791,154.452353,6.369517,0,30,16.466667,18.3504049,150.0342,150,12.25505,0.110117
,1.900000016,305.018695,154.928415,6.380999,0,30,16.466667,18.5116049,148.7404,150,12.3651,0.109298
